,Number_Episode,Dates,Detectives,Title,Place,Links,Ratings,Ratingcounts,TV_stations,Amount_actors,Story,Director,Script,Camera,Story_words_amount,Story_len,Amount_Director,Amount_Script,Amount_Camera,Viewers_absolute,Viewers_%,Ranking,Ranking_after_1990,Ranking_city,Ranking_city_after_1990,Actors,Year,Month,Day,Ratings_simple
317,785,2010-12-26,Borowski,Borowski und der vierte Mann,Kiel,https://www.tatort-blog.de/folgen/tatort-kiel/borowski-und-der-vierte-mann/,3.6,353.0,NDR,7,"Auf einem Landgut in der Nähe von Kiel werden Leichenteile eines Mannes in einer Tierfalle gefunden. Das Opfer war Mitglied einer Jagdgesellschaft, die das Landgut angemietet hat. Es sieht so aus, als ob militante Tierschützer hinter der Tat stecken. Doch dann findet Kommissar Borowski heraus, dass die Jagdgesellschaft etwas zu verbergen hat. Sie hatten das abgelegene Anwesen ausgewählt, um ungestört einer illegalen Jagd auf Bären nachzugehen, die sie extra für diesen Zweck gekauft hatten. Da taucht ein weiteres Leichenteil bei einem Kürschner auf und das Blatt wendet sich. Offenbar handelt es sich hier um einen Serienmörder, der mit Borowski und der Polizei ein mörderisches Spiel spielen will. Die Jagdgesellschaft ist in höchster Gefahr und für Kommissar Borowski beginnt ein Wettlauf gegen die Zeit...  ",Claudia Garde,Daniel Nocke,Martin Kukula ,125,815,1,1,1,7.07,20.8,886.0,684.0,31.0,24.0,"['Axel Milberg', 'Sven Pippig', 'Susanne Wolff', 'Matthias Matschke', 'Jan Peter Heyne', 'Thomas Kügel', 'Samuel Finzi', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",2010,12,26,36
318,784,2010-12-19,Batic/Leitmayr,Nie wieder frei sein,München,https://www.tatort-blog.de/folgen/tatort-muenchen/nie-wieder-frei-sein/,3.7,1844.0,BR,11,"Zu Beginn dieser Folge ist das Verbrechen bereits aufgeklärt: Markus Rapp, ein unscheinbarer junger Mann, steht wegen Mordes an Bettina Krüger und der Vergewaltigung an Melanie Bauer vor Gericht. Die junge Frau hat überlebt, wurde jedoch schwer verletzt. Jetzt sitzt sie als Nebenklägerin, gemeinsam mit Bettinas Schwester Sandra Krüger, im Gerichtssaal. Die Münchner Hauptkommissare Franz Leitmayr und Ivo Batic machen ihre Aussagen. Sie haben Beweise gesammelt, Indizien zusammengetragen und Markus Rapp in einer spektakulären Aktion in einem Bordell festgenommen. Die beiden Kommissare ärgern sich über Markus Rapps' Verteidigerin Regina Zimmer, die ihren ersten Prozess als Pflichtverteidigerin führt. Mit ihrer Taktik stellt sie die erfahrenen Beamten des Öfteren kalt. Der Fall genießt große Aufmerksamkeit. Von Tag zu Tag bevölkern immer mehr Neugierige den Gerichtssaal. Doch dann geschieht das Unfassbare: Der Angeklagte wird freigesprochen. Melanie Bauer ist am Ende ihrer Kräfte. Die Beziehung zu ihrem Verlobten ist zerbrochen und sie hat jeglichen Glauben an Recht und Gerechtigkeit verloren. Markus Rapp triumphiert vor den Augen der ohnmächtigen Polizei. Er kann zunächst bei seinem Vater unterkommen, doch wütende Nachbarn versuchen, dem Mörder mit allen Mitteln das Leben zur Hölle zu machen. Für Franz Leitmayr und Ivo Batic bedeutet der Freispruch, dass sie wieder ganz am Anfang stehen. Sie müssen versuchen, neue Beweise zu finden, die Markus Rapp endgültig überführen sollen...  ",Christian Zübert,Dinah Marte Golch,Philipp Kirsamer ,218,1501,1,1,1,9.63,25.9,447.0,245.0,48.0,24.0,"['Miroslav Nemec', 'Udo Wachtveitl', 'Lisa Wagner', 'Antje Widdra', 'Stephan Zinner', 'Anna Maria Sturm', 'Tilo Prückner', 'Rainer Bock', 'Shenja Lacher', 'Katharina Müller-Elmau', 'Ulrike Arnold', nan, nan, nan, nan, nan, nan, nan, nan, nan]",2010,12,19,37
319,783,2010-12-12,Saalfeld/Keppler,Schön ist anders,Leipzig,https://www.tatort-blog.de/folgen/tatort-leipzig/schoen-ist-anders/,3.3,225.0,MDR,14,"Tatort Leipzig: Der Personalleiter der Leipziger Verkehrsbetriebe, Jörg Korsack, wird tot aufgefunden. Seine Leiche war in einem Auto-Wrack auf einer Baustelle deponiert und von Bauarbeitern gefunden. Eva Saalfeld (Simone Thomalla) und Andreas Keppler (Martin Wuttke) finden schnell heraus, dass Korsack nicht allzu beliebt war. Korsacks Frau Sabine (Corinna Harfouch) wusste von den zahlreichen Affären ihres Mannes, behauptet jedoch damit Frieden geschlossen zu haben. Auch unter den Kollegen finden sich zahlreiche Feinde, die ein Motiv für den Mord hätten. Mitarbeiterin Moni Fischer (Jule Böwe) lag mit ihrem Chef schon lange im Clinch, außerdem gehört das Auto, in dem Korsack gefunden wurde, ihrem Mann Uwe (Martin Brambach).  Also nehmen Saalfeld und Keppler die Familie Fischer genauer unter die Lupe. Nicht nur Herr und Frau Fischer, sondern auch Sohn Tobias machen sich verdächtig. Der 17-Jährige liegt mit einer Alkoholvergiftung im Krankenhaus, weil er seinen Liebeskummer im Alkohol ertränkt hat. Seine Angebetete Mandy Wachowiak (Susanne Bormann) hatte ein Verhältnis - ausgerechnet mit Jörg Korsack. Doch auch dessen Stellvertreter Siggi Mertens war nicht immer einer Meinung mit seinem Chef. Eva Saalfeld und Andreas Keppler vom Tatort Leipzig haben alle Hände voll zu tun, Licht ins Dunkel zu bringen. ",Judith Kennel,Katrin Bühlig,Nathalie Wiedemann ,195,1320,1,1,1,9.32,25.3,489.0,287.0,13.0,3.0,"['Simone Thomalla', 'Martin Wuttke', 'Maxim Mehmet', 'Swetlana Schönfeld', 'Carla Sewczyk', 'Peter Kurth', 'Kai Schumann', 'Corinna Harfouch', 'Jule Böwe', 'Susanne Bormann', 'Martin Brambach', 'Philipp Gerstner', 'Christian Maria Goebel', 'Oliver Bootz', nan, nan, nan, nan, nan, nan]",2010,12,12,33
320,782,2010-05-12,Ballauf/Schenk,Familienbande,Köln,https://www.tatort-blog.de/folgen/tatort-koeln/familienbande/,3.1,194.0,WDR,14,"Die Polizei findet den kleinen Mark erforen im Kühlraum des ""Fringshofs"". Seine Eltern hatten ihn als vermisst gemeldet und jetzt sind ihre schlimmsten Befürchtungen wahr geworden. Marks Vater Bernd Bürger ist außer sich vor Hass und Wut. Für ihn ist egal, ob es Mord oder nur ein Unfall war. Die Schuldige ist für ihn die Hofbesitzerin Iris Findeisen. Warum aber sollte die Wild- und Geflügelhändlerin ein unschuldiges Kind umbringen? Die Kommissare Ballauf und Schenk haben ihre Zweifel an der Version des Vaters. Iris Findeisen ist in dem kleinen Ort am Kölner Stadtrand allgemein unbeliebt. Auch Großmutter Helene und den Mitgliedern im Schützenverein ist die attraktive Geschäftsfrau ein Dorn im Auge. Nur Marks Mutter Nadja Bürger hält sich zurück, sie steht nach dem Tod ihres Sohns noch unter Schock. Und dann geschieht ein zweiter Mord...  ",Thomas Jauch,"Lars Böhme, Peter Goslicki, Hans Werner",Clemens Messow ,136,849,1,3,1,9.65,26.1,409.0,207.0,36.0,2.0,"['Dietmar Bär', 'Klaus J. Behrendt', 'Karoline Schuch', 'Anna Schudt', 'Christian Tasche', 'Mark Waschke', 'Michael Prelle', 'Thiemo Schwarz', 'Katharina Lorenz', 'Joe Bausch', 'Anna Grisebach', 'Petra Kelling', 'Klaus Lehmann', 'Tessa Mittelstaedt', nan, nan, nan, nan, nan, nan]",2010,05,12,31
321,781,2010-11-28,Murot,Wie einst Lilly,Wiesbaden,https://www.tatort-blog.de/folgen/tatort-wiesbaden/wie-einst-lilly/,3.4,1009.0,HR,10,"Der Wiesbadener LKA-Ermittler Felix Murot ist ein Einzelgänger. Der ewige Junggeselle hat die passende Frau nicht gefunden, gesucht hat er auch auch nicht wirklich. Seine ruppige, zynische Art ist nicht jedermanns Sache, obwohl er durchaus humorvoll sein kann. Der einzige Mensch, dem Murot vertraut, ist seine Sekretärin Magda Wächter, die ihm mit ihrem bärbeißigen Charme immer wieder den Rücken freihält. Murot hat häufig Kopfschmerzen und bei einer Routineuntersuchung wird ein Gehirntumor bei ihm entdeckt. Die Ärzte sind sich nicht sicher, ob er stabil bleibt oder weiter wächst. Murot verdrängt das Problem, lehnt eine Strahlenterapie ab und nimmt lieber Tabletten. Ausgerechnet in dieser Situation führt ihn ein Mordfall in die alte Heimat an den Edersee zurück. In einem Ruderboot wurde eine Leiche gefunden. Daneben die Tatwaffe, die aus dem Umfeld der RAF stammt. Die Polizei vor Ort hat die Ermittlungen schon abgeschlossen und geht von Selbstmord aus. Murot glaubt nicht daran und mietet sich in der kleinen Pension am See ein, wo auch der Tote gewohnt hat. Im Laufe der Ermittlungen wird immer deutlicher, dass es sich um einen Mord handeln muss. Das Opfer war Journalist und angeblich einer brisanten Story auf der Spur. Zudem erinnert ihn die Pensionswirtin Jana Maitner an seine Jugendliebe Lilly, von der er einst getrennt wurde und die ihn seitdem nicht mehr losgelassen hat. Seine Wahrnehmung wird schärfer, er sieht Dinge, die sich ihm früher entzogen haben und die normale Menschen vielleicht gar nicht verstehen können. Es scheint als würde sein Tumor Teile des Gehirns extrem sensibilisieren. So werden seine Ermittlungen zu einem Trip, der ihn auf eine Reise zwischen Tag und Traum, zwischen Leben und Tod schickt..  ",Achim von Borries,Christian Jeltsch,Bernd Fischer ,274,1742,1,1,1,8.66,23.6,635.0,433.0,3.0,3.0,"['Ulrich Tukur', 'Barbara Philipp', 'Fritz Roth', 'Lars Rudolph', 'Friederike Linke', 'Holger Handtke', 'Martina Gedeck', 'Vadim Glowna', 'Fritzi Haberlandt', 'Martin Brambach', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",2010,11,28,34
322,780,2010-11-21,Batic/Leitmayr,Unsterblich schön,München,https://www.tatort-blog.de/folgen/tatort-muenchen/unsterblich-schoen/,3.0,208.0,BR,12,"Die attraktive 39-jährige Münchner Ehefrau Konstanze Schiller hat sich dem Schönheitswahn verschrieben und betreibt einen exklusiven Wellness-Tempel. Doch ihr überraschender Tod bereitet dem ein jähes Ende. Alles deutet auf Mord hin. Ihre Familie ist erschüttert und stellt sich Fragen, wer sie wirklich war. Wer hatte einen Grund, sie umzubringen? Konstanzes Ehemann Andreas kommt mit der Situation nur schwer zurecht. Er graut sich vor seinem einsam gewordenen Zuhause. Rita, die Mutter der Toten, hatte Konstanze ihrer unscheinbaren Schwester Dorothea immer vorgezogen. Die Mutter ist noch immer stolz auf ihren alten Titel ""Miss Bavaria"" und hat der Lieblingstochter ihr Lebenswerk vermacht, die Wellness-Oase. Dorotheas Mann Jürgen ist sehr oft auf Geschäftsreisen unterwegs, und so ist Dorothea davon überzeugt, dass er fremdgeht. Die Münchner Hauptkommissare Ivo Batic und Franz Leitmayr tauchen in die intrigante, lieblose Welt einer Familie ein, deren Werte sich ganz allein an Hochglanzmagazinen zu orientieren scheinen... ",Filippos Tsitos,Stefanie Kremser,Polidefkis Paul Kirlidis ,147,1033,1,1,1,9.83,26.7,378.0,176.0,39.0,5.0,"['Miroslav Nemec', 'Udo Wachtveitl', 'Gudrun Landgrebe', 'Victoria Trauttmansdorff', 'Tanja Kuntze', 'Annika Preil', 'Isabella Hübner', 'Robert Atzorn', 'Cornelia Corba', 'Peter Davor', 'Kathrin Höhne', 'Tatjana Alexander', nan, nan, nan, nan, nan, nan, nan, nan]",2010,11,21,30
323,779,2010-11-14,Lannert/Bootz,Die Unsichtbare,Stuttgart,https://www.tatort-blog.de/folgen/tatort-stuttgart/die-unsichtbare/,3.4,268.0,SWR,9,"Am Ufer eines Sees wird eine unbekannte Tote gefunden. Die Kommissare Lannert und Bootz stehen vor einem großen Rätsel. Die Frau wurde nicht als vermisst gemeldet und niemand fragt nach ihr. Alles deutet darauf hin, dass es sich bei dem Opfer um eine illegale Einwanderin handeln muss. Während ihrer Ermittlungen bekommen die Kommissare einen tiefen Einblick in das Leben dieser illegal in Deutschland lebenden Menschen. Thorsten Lannert bekommt Gewissenskonflikte zwischen den dienstlichen Vorgaben und seinem eigenen menschlichem Verständnis. Nur mühsam gelingt es ihnen, die Umstände von Leben und Tod der Frau zu entschlüsseln. Dann finden sie heraus, dass die Tote zwei Kinder hat, die spurlos verschwunden sind und möglicherweise in Lebensgefahr schweben...  ",Johannes Grieser,"Eva Zahn, Volker A. Zahn",Jürgen Carle ,114,765,1,2,1,9.61,20.5,898.0,696.0,58.0,4.0,"['Richy Müller', 'Felix Klare', 'Carolina Vera', 'Birthe Wolter', 'Maja Schöne', 'Jürgen Hartmann', 'Johanna Janssen', 'Mimi Fiedler', 'Jakob Höhne', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",2010,11,14,34
324,778,2010-10-31,Lindholm,Der letzte Patient,Hannover,https://www.tatort-blog.de/folgen/tatort-hannover/der-letzte-patient/,2.9,196.0,NDR,8,"Dr. Silke Tannenberger wird tot in ihrer ausgebrannten Praxis in einem Hannoveraner Vorort gefunden. Wie es aussieht, war dies kein Unfall. Charlotte Lindholms Chef Bitomsky besteht darauf, dass sie diesen Fall übernehmen soll, da er die Ärztin flüchtig kannst, wie er sagt. Vor Ort trifft Charlotte Lindholm auf ihre Kollegin Anja Dambeck, Paradebeispiel einer berufstätigen Mutter, die ihren Beruf und ihre Familie perfekt unter einen Hut bringt - ein rotes Tuch für Charlotte Lindholm. Den Ermittlern ist das Motiv für den Mord an der alleinstehenden Ärztin völlig unklar. Im Zuge der Untersuchungen läuft ihr immer wieder der verwahrlost wirkende Tim über den Weg. Und dann findet sie ein Videotagebuch, in dem die Ärztin ihre Männerbekanntschaften dokumentiert hat. Darunter befindet such auch Kriminaldirektor Stefan Bitomsky...  ",Friedemann Fromm,Astrid Paprotta,Klaus Eichhammer ,126,836,1,1,1,8.79,25.1,505.0,303.0,20.0,6.0,"['Maria Furtwängler', 'Jan Messutat', 'Torsten Michaelis', 'Christin König', 'Christina Große', 'Pit Bukowski', 'Kathrin Ackermann', 'Joel Basman', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",2010,10,31,29
325,777,2010-10-24,Borowski,Borowski und eine Frage von reinem Geschmack,Kiel,https://www.tatort-blog.de/folgen/tatort-kiel/borowski-und-eine-frage-von-reinem-geschmack/,3.2,202.0,NDR,7,"Ein 15-jähriger Junge stirbt, nachdem er den Energy-Drink VITANALE getrunken hat. Die Todesursache ist offenbar eine Überdosis eines Lebensmittelfarbstoffs in dem Getränk. Der Junge war zwar Allergiker, die tödliche Menge war aber alles andere als ein Zufall. Eine erste Spur führt Hauptkommissar Klaus Borowski (Axel Milberg) zur Molkerei Kallberg, in der der Energy-Drink hergestellt wird. In der Molkerei hat es einen Einbruch gegeben und vieles deutet auf Sabotage. In Verdacht gerät schnell ein junger Umweltschützer, der seit einiger Zeit eine Kampagne gegen die Molkerei und ihr Getränk führt. Er schreckt dabei auch vor zweifelhaften Methoden nicht zurück. Aber auch die ehrgeizige Firmenchefin Liane Kallberg und ihre zerrüttete Familie sind Borowski nicht ganz geheuer. Doch dann meldet sich ein Erpresser. Bald wird klar, dass hinter dem Verbrechen ein menschliches Drama steht, in dem der Vater des toten Jungen eine Schlüsselrolle spielt...  ",Florian Froschmayer,"Kai Hafemeister, Thorsten Wettcke, Christoph Silber",Carsten Thiele ,142,955,1,3,1,8.51,22.4,746.0,544.0,23.0,6.0,"['Axel Milberg', 'Sibel Kekilli', 'Esther Schweins', 'Sonja Gerhardt', 'Thomas Kügel', 'Samuel Finzi', 'Jan Peter Heyne', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",2010,10,24,32
326,776,2010-10-17,Odenthal/Kopper,Der Schrei,Ludwigshafen,https://www.tatort-blog.de/folgen/tatort-ludwigshafen/der-schrei/,2.6,183.0,SWR,13,"Lena Odenthal und ihr Kollege Mario Kopper werden in einen Freizeitpark gerufen. Dort wurde ein siebenjähriges Mädchen, dass am Vorabend von ihren Eltern vermisst gemeldet worden war, tot geborgen. Die Gerichtsmedizin ermittelt, dass das Mädchen erstickt wurde. Ins Visier der Kommissare gerät der Hotelgast Tom Heye, der bereits eine Haftstrafe wegen sexuellen Missbrauchs einer Minderjährigen abgesessen hat. Heye wird panisch als sich sein hastig vorgebrachtes Alibi als falsch erweist. Allerdings könnte sein Verhalten auch Angst sein. Aber auch die Eltern des getöteten Kindes verhalten sich merkwürdig. Ruth Fichter ist offenbar am Rand eines Nervenzusammenbruchs. zwischen ihr und ihrem Mann Peter sind Spannungen spürbar. Als bei der Rekonstruktion der Ereignisse Lücken in der Aussage der Mutter auftauchen, kann Lena Odenthal nicht anders, als einem schrecklichen Verdacht nachzugehen: Hat die Mutter ihr eigenen Kind ermordet? ",Gregor Schnitzler,Harald Göckeritz,Cornelia Wiederhold ,134,938,1,1,1,8.48,22.9,708.0,506.0,39.0,3.0,"['Ulrike Folkerts', 'Andreas Hoppe', 'Celine Möller', 'Annalena Schmidt', 'Roeland Wiesnekker', 'Brigitte Zeh', 'Jan Messutat', 'Annika Kuhl', 'Emilie Capallo', 'Peter Espeloer', 'Catherine Bode', 'Zvonimir Ankovic', 'Fabian Busch', nan, nan, nan, nan, nan, nan, nan]",2010,10,17,26
327,775,2010-10-10,Thiel/Boerne,Spargelzeit,Münster,https://www.tatort-blog.de/folgen/tatort-muenster/spargelzeit/,3.5,624.0,WDR,12,"Die Frau des örtlichen ""Spargelkönigs"" Martin Pütz wird erstochen am Boden des leeren Swimmingpools im Garten ihres Hauses gefunden. Der Verdacht fällt auf Kommissar Thiels Vater, der gerade beim nächtlichen Spargelklauen erwischt worden ist. Thiel findet das gar nicht lustig und lässt seinen Vater erst einmal in U-Haft bringen. Und natürlich kommen ihm auch wieder die Alleingänge von Professor Boerne am Tatort in die Quere. Die Ermittler bekommen schnell mit, dass es um das Verhältnis derDorfbewohner zu den Saisonarbeitern des Spargelhofs nicht besonders gut bestellt ist. Vor zwei Jahren war Julia Pütz, die Tochter des Hauses, von einem Unbekannten vergewaltigt worden. Seitdem stehen die polnischen und rumänischen Saisonarbeiter bei den Einwohnern des Dorfes unter Generalverdacht. Und jetzt droht der Mord an Julias Mutter das Fass zum Überlaufen zu bringen. Erst recht, als dann auch noch dieselbe DNA wie bei der Vergewaltigung bei der Toten gefunden wird. Gibt es eine Verbindung zwischen der Vergewaltigung der Tochter und dem Mord an der Mutter? Die Polizei ordnet einen Massen-Gentest an. Während Professor Boerne mit der Auswertung der DNA-Proben beschäftigt ist, schickt Thiel seine Assistentin Nadeshda Krusenstern als verdeckte Ermittlerin an die Front. Um herauszufinden, wer auf dem Gutshof ein Motiv für den Mord haben könnte, soll sie sich als Spargelstecherin getarnt auf Spurensuche begeben. Und sie wird tatsächlich fündig...  ",Manfred Stelzer,"Jürgen Werner, Peter Zingler",Michael Wiesweg ,217,1456,1,2,1,10.49,29.3,268.0,69.0,16.0,6.0,"['Jan Josef Liefers', 'Axel Prahl', 'Matilda Merkel', 'Alexandru Mihaescu', 'Agnieszka Piwowarska', 'ChrisTine Urspruch', 'Ronald Kukulies', 'Claus D. Clausnitzer', 'Mechthild Großmann', 'Jörg Hartmann', 'Friederike Kempter', 'Dimitri Bilov', nan, nan, nan, nan, nan, nan, nan, nan]",2010,10,10,35
328,774,2010-03-10,Batic/Leitmayr,Die Heilige,München,https://www.tatort-blog.de/folgen/tatort-muenchen/die-heilige/,3.4,278.0,BR,18,"Im Münchener Hochsicherheits-Gefängnis Stadelheim nimmt der Gefangene Nic Schuster (Sascha A. Gersak) seinen Zellengenossen Charly Bause (Heinz-Josef Braun) als Geisel. Er droht, sein Opfer mit einem Schraubendreher zu erstechen. Schuster fordert, mit den Kommissaren Ivo Batic (Miroslav Nemec) und Franz Leitmayr (Udo Wachtveitl) zu sprechen, denn die haben ihn damals hinter Gittern gebracht. Im Gefängnis eingetroffen, bemühen sich die Münchener Tatort-Kommisssare, die Lage zu beruhigen und unter Kontrolle zu bringen. Gemeinsam mit der JVA-Beamtin Marie Hoflehner (Anneke Kim Sarnau) und ihren Kollegen schaffen sie es, die Geiselnahme unblutig zu beenden.  Doch bald schon kommt die erschreckende Entdeckung, dass im Trubel ein anderer Häftling fliehen konnte. Der algerisch-französische Drogendealer Hassan Adub (Mehdi Nebbou) ist ausgebrochen und nun in München unterwegs. Kurz darauf entdecken die Beamten Geiselnehmer Schuster tot in seiner Zelle, gestorben an einer Überdosis Drogen. Eine fieberhafte Suche nach dem Ausgebrochenen beginnt, denn niemand kennt Hassans Ziel. Seine Flucht ist präzise geplant, es muss also mindestens einen Helfer geben. Während Leitmayr im Gefängis die Beamten und die anderen Insassen verhört, ermittelt Batic im Bahnhofsviertel unter den ehemaligen Komplizen von Hassan. Mit seiner Clique hatte der Flüchtige früher in großem Stil mit Drogen gedealt, bis er verurteilt wurde. Im Gegensatz zu Hassan Adub wurde von seinen Freunden niemand gefasst. Droht ein Racheakt? Und wer ist der heimliche Helfer, der Hassan die Flucht ermöglichte? ",Jobst Christian Oetzmann,"Jobst Christian Oetzmann, Magnus Vattrodt",Hanno Lentz ,224,1580,1,2,1,8.0,22.7,728.0,526.0,78.0,54.0,"['Miroslav Nemec', 'Udo Wachtveitl', 'Alexander Nadler', 'Mehdi Nebbou', 'Peter Rappenglück', 'Anneke Kim Sarnau', 'Mohamed Zin', 'David Scheller', 'Dietmar Mössmer', 'Wolfgang Menardi', 'Sascha Alexander Gersak', 'Heinz-Josef Braun', 'Johanna Bittenbinder', 'Edin Hasanovic', 'Adam Jaskolka', 'Gilberto Lopez', 'Matthias Kupfer', 'Ben Akkaya', nan, nan]",2010,03,10,34
329,773,2010-09-26,Ritter/Stark,"Die Unmöglichkeit, sich den Tod vorzustellen",Berlin,https://www.tatort-blog.de/folgen/tatort-berlin/die-unmoeglichkeit-sich-den-tod-vorzustellen/,3.1,203.0,RBB,13,"Mord in der Berliner Kunstszene: Hanns Helge, ein weltbekannter Künstler, ist in der Nacht vor Eröffnung seiner neuen Ausstellung von Teilen seiner Kunstinstallation erschlagen worden. Zunächst sieht alles nach einem Unfall aus, doch auch Selbstmord oder gar Mord sind nicht völlig auszuschließen. Der Künstler hatte indirekt angekündigt, dass nur sein Tod die Vollendung seines Werkes sein könne. Und mit der Galeristin Oona von Wilm und dem Kunstsammler Urs Büchner gibt es gleich zwei Personen, die vom Tod des Künstlers finanziell profitieren würden.Während der Ermittlungen bekommt Till Ritter eine traurige Nachricht: Sein Onkel Klaus soll Selbstmord begangen haben. Ritter will das nicht glauben und versucht wie besessen, die Möglichkeit eines gewaltsamen Todes zu finden. Felix Stark und Till Ritter treffen im Umfeld des Künstlers auf viele Rätsel. Helges persönlicher Assistent Markus Kuhn scheint nicht die Wahrheit zu sagen. Und seine ehemalige Muse Patty gibt sich ahnungsloser, als sie es in Wirklichkeit ist. Warum weiß die Mutter des Künstlers kaum etwas über das Leben ihres Sohnes? Und welche Rolle spielt die junge Kunstwissenschaftlerin Anna Linde, die ihre Doktorarbeit über den Tod in Helges Bildern schreibt?  ",Christine Hartmann,Beate Langmaack,Carl-Friedrich Koschnick ,185,1234,1,1,1,7.62,21.0,869.0,667.0,65.0,4.0,"['Dominic Raacke', 'Boris Aljinovic', 'Bernhard Schütz', 'Fritz Roth', 'Ernst-Georg Schwill', 'Max von Thun', 'Joram Voelklein', 'Tilo Prückner', 'Hobmeier Brigitte', 'Karoline Eichhorn', 'Monika Lennartz', 'Torsten Michaelis', 'Josefine Preuß', nan, nan, nan, nan, nan, nan, nan]",2010,09,26,31
330,772,2010-09-19,Blum/Perlmann,Bluthochzeit,Konstanz,https://www.tatort-blog.de/folgen/tatort-konstanz/bluthochzeit/,3.1,199.0,SWR,13,"Schlechter Tag für Hauptkommissarin Klara Blum: Sie wird bei einer Verkehrskontrolle angehalten und erhält einen Strafzettel wegen einer fehlenden Warnweste. Während sie sich noch ärgert, wird über Polizeifunk eine Schießerei mit Geiselnahme gemeldet. Klara Blum rast zum Tatort, kann aber nicht verhindern, dass die Geisel erschossen wird. Der Täter ist auf der Flucht und die Kommissarin will den Mörder um jeden Preis fassen. Bei den Ermittlungen erfährt sie, dass der Getötete Wolfram Seebeck heißt und ein Häftling aus der JVA Singen war. Zwei Wochen vor seinem Entlassungstermin brach er dort aus. Er war jahrelang wegen der Entführung der Hotelierstochter Beate Gellert inhaftiert. Klara Blum vermutet, dass nun auch Beate Gellert wieder in Gefahr ist. Sie will Beate warnen und gerät mitten in deren Hochzeitsfeier. Nach der Trauung soll Hanno Brünner, ihr Bräutigam, bei der traditionellen ""Entführung der Braut"" beweisen, was ihm seine Braut wert ist. Zusammen mit Hanno Brünner hetzt Klara Blum den ""Entführern"" hinterher. Alles spricht dafür, dass sich der gesuchte Mörder unter ihnen befindet, und es beginnt ein mörderischer Wettlauf gegen die Zeit...  ",Patrick Winczewski,Stefan Dähnert,Jürgen Carle ,176,1167,1,1,1,8.26,23.5,647.0,445.0,15.0,5.0,"['Eva Mattes', 'Sebastian Bezzel', 'Sarah Riedel', 'Petra Schmidt-Schaller', 'Matthias Ziesing', 'Hannes Wegener', 'Edgar M. Marcus', 'Simi Lipinski', 'Anne Diemer', 'Thomas Fränzel', 'Godehard Giese', 'Justine Hauer', 'Peter Kremer', nan, nan, nan, nan, nan, nan, nan]",2010,09,19,31
331,771,2010-12-09,Ballauf/Schenk,Schmale Schultern,Köln,https://www.tatort-blog.de/folgen/tatort-koeln/schmale-schultern/,3.4,191.0,WDR,15,"Jens Otten und Regina Scheffler wollen heiraten, die Einladungen sind bereits verschickt. Doch dann wird Regina Scheffler ermordet. Unbekannte Täter haben sie vom Balkon im fünften Stock gestoßen, ihre Wohnung verwüstet und mit Graffiti beschmiert. Ähnliche Fälle von Vandalismus hatte es in der Gegend zuletzt öfter gegeben. Während sich Hauptkommissar Freddy Schenk auf die Suche nach dem Sprayer macht, nimmt sich sein Kollege Max Ballauf das private Umfeld der Toten vor. Und da sieht nichts nach heiler Welt aus: Jens Otten führt seit Jahren einen Kleinkrieg mit seiner Ex-Frau Claudia. Es geht um Unterhaltszahlungen für die gemeinsame Tochter Laura. Die 15-jährige hat kaum noch Kontakt zu ihrem Vater und ist auf Regina Scheffler gar nicht gut zu sprechen. Der Verdacht gegen Laura erhärtet sich weiter, als Freddy Schenk schließlich ihren Freund Patrick Cosca als den verantwortlichen Sprayer identifizieren kann. Aber auch Patricks Vater Ralf kannte die Tote besser als er zunächst zugibt. Regina Scheffler hat ihn in der Mordnacht gleich dreimal angerufen...  ",Christoph Schnee,"Jürgen Werner, Stephan Wuschansky, Ulrich Brandt",Diethard Prengel ,164,1071,1,3,1,9.2,26.0,426.0,224.0,38.0,3.0,"['Klaus J. Behrendt', 'Dietmar Bär', 'Ben Unterkofler', 'Karoline Schuch', 'Lilli von Kunhardt', 'Gerdy Zint', 'Mateo Wansing-Lorriot', 'Thomas Sarbacher', 'Tessa Mittelstaedt', 'Joe Bausch', 'Michelle Barthel', 'Lina Beckmann', 'Pierre Besson', 'Sema Meray', 'Nina Petri', nan, nan, nan, nan, nan]",2010,12,09,34
